x_1 = 0.000000e+00,	f(x_1) = 2.500000e-01,	e_1 = -1.000000e+00,	0.75e_1 = -7.500000e-01
x_2 = 2.500000e-01,	f(x_2) = 4.375000e-01,	e_2 = -7.500000e-01,	0.75e_2 = -5.625000e-01
x_3 = 4.375000e-01,	f(x_3) = 5.781250e-01,	e_3 = -5.625000e-01,	0.75e_3 = -4.218750e-01
x_4 = 5.781250e-01,	f(x_4) = 6.835938e-01,	e_4 = -4.218750e-01,	0.75e_4 = -3.164062e-01
x_5 = 6.835938e-01,	f(x_5) = 7.626953e-01,	e_5 = -3.164062e-01,	0.75e_5 = -2.373047e-01
x_6 = 7.626953e-01,	f(x_6) = 8.220215e-01,	e_6 = -2.373047e-01,	0.75e_6 = -1.779785e-01
x_7 = 8.220215e-01,	f(x_7) = 8.665161e-01,	e_7 = -1.779785e-01,	0.75e_7 = -1.334839e-01
x_8 = 8.665161e-01,	f(x_8) = 8.998871e-01,	e_8 = -1.334839e-01,	0.75e_8 = -1.001129e-01
x_9 = 8.998871e-01,	f(x_9) = 9.249153e-01,	e_9 = -1.001129e-01,	0.75e_9 = -7.508469e-02
x_10 = 9.249153e-01,	f(x_10) = 9.436865e-01,	e_10 = -7.508469e-02,	0.75e_10 = -5.631351e-02
x_11 = 9.436865e-01,	f(x_11) = 9.577649e-01,	e_11 = -5.631351e-02,	0.75e_11 = -4.223514e-02
x_12 = 9.577649e-01,	f(x_12) = 9.683236e-01,	e_12 = -4.223514e-02,	0.75e_12 = -3.167635e-02
x_13 = 9.683236e-01,	f(x_13) = 9.762427e-01,	e_13 = -3.167635e-02,	0.75e_13 = -2.375726e-02
x_14 = 9.762427e-01,	f(x_14) = 9.821821e-01,	e_14 = -2.375726e-02,	0.75e_14 = -1.781795e-02
x_15 = 9.821821e-01,	f(x_15) = 9.866365e-01,	e_15 = -1.781795e-02,	0.75e_15 = -1.336346e-02
x_16 = 9.866365e-01,	f(x_16) = 9.899774e-01,	e_16 = -1.336346e-02,	0.75e_16 = -1.002260e-02
x_17 = 9.899774e-01,	f(x_17) = 9.924831e-01,	e_17 = -1.002260e-02,	0.75e_17 = -7.516947e-03
x_18 = 9.924831e-01,	f(x_18) = 9.943623e-01,	e_18 = -7.516947e-03,	0.75e_18 = -5.637710e-03
x_19 = 9.943623e-01,	f(x_19) = 9.957717e-01,	e_19 = -5.637710e-03,	0.75e_19 = -4.228283e-03
x_20 = 9.957717e-01,	f(x_20) = 9.968288e-01,	e_20 = -4.228283e-03,	0.75e_20 = -3.171212e-03
x_21 = 9.968288e-01,	f(x_21) = 9.976216e-01,	e_21 = -3.171212e-03,	0.75e_21 = -2.378409e-03
x_22 = 9.976216e-01,	f(x_22) = 9.982162e-01,	e_22 = -2.378407e-03,	0.75e_22 = -1.783805e-03
x_23 = 9.982162e-01,	f(x_23) = 9.986622e-01,	e_23 = -1.783803e-03,	0.75e_23 = -1.337852e-03
